timestamp,ax,ay,az,gx,gy,gz
498873,0.0561,-0.0293,-0.9570,-9.4500,-17.5700,-6.7900
498883,0.1015,-0.0190,-0.9833,2.5200,1.4000,-1.4700
498893,0.0625,-0.0254,-0.9823,-3.8500,0.2100,-4.2700
498903,0.0561,-0.0234,-0.9882,-1.3300,0.9100,-4.7600
498913,0.0688,-0.0215,-0.9579,3.4300,0.7700,-3.4300
498923,0.1049,-0.0176,-1.0116,7.1400,1.3300,-4.6200
498933,0.0883,-0.0239,-0.9482,-1.9600,0.2800,-5.4600
498943,0.0956,-0.0034,-0.9731,3.9200,0.9100,-4.5500
498953,0.0468,0.0717,-0.9828,-0.2100,1.3300,1.4000
498963,0.0366,0.0859,-0.9414,-5.3900,-1.6100,5.3900
498973,0.1498,-0.0556,-1.0263,5.2500,0.1400,5.3200
498983,0.2240,-0.1596,-0.9238,-2.5200,-0.3500,-0.4200
498993,0.2674,-0.0342,-0.9926,5.8800,0.1400,2.9400
499002,0.1376,-0.0185,-0.9579,-4.4100,0.5600,5.6000
499013,0.1025,-0.0273,-0.9721,-6.0200,1.2600,15.1200
499023,0.0595,-0.0659,-0.9819,-0.4200,2.3100,7.9100
499033,0.0415,-0.0913,-0.9384,2.9400,-0.2800,-0.6300
499042,0.0600,-0.0698,-0.9960,2.1700,-0.0700,-9.8700
499053,0.1235,-0.0386,-0.9604,-2.4500,-0.9100,-13.9300
499063,0.1386,-0.0112,-0.9565,3.7800,-0.4200,-12.2500
499073,0.1479,-0.0088,-1.0024,3.3600,0.2800,-11.7600
499083,0.1181,-0.0346,-0.9740,-2.1000,-0.4900,-11.4800
499093,0.1078,-0.0630,-0.9301,-13.3700,-1.4700,-12.7400
499103,0.1181,-0.0298,-0.9648,9.7300,-0.4900,-11.4800
499113,0.1347,0.0581,-0.9111,5.0400,0.6300,-7.0000
499123,0.1337,0.0327,-1.0053,4.6900,0.9100,-5.3200
499133,0.1459,0.0366,-0.9658,-1.6800,0.2100,-2.8700
499143,0.1322,0.0146,-0.9496,2.6600,0.9800,0.3500
499153,0.1069,-0.0220,-0.9775,1.9600,0.9800,0.7700
499163,0.1088,-0.0215,-0.9716,-0.6300,1.1200,0.9100
499173,0.1064,-0.0215,-0.9555,-1.3300,0.9100,0.7700
499183,0.1059,-0.0210,-0.9687,2.3100,0.9800,0.8400
499193,0.1083,-0.0176,-0.9853,2.3800,0.9100,0.8400
499203,0.1083,-0.0181,-0.9838,-0.2800,0.4900,0.8400
499213,0.1088,-0.0229,-0.9633,0.0700,0.6300,0.9100
499223,0.1059,-0.0195,-0.9638,1.1900,0.5600,0.8400
499233,0.1078,-0.0224,-0.9731,1.5400,0.7700,0.9100
