timestamp,ax,ay,az,gx,gy,gz,ir,red,packet_version
1051741210,0.124755859375,-0.168212890625,0.1480712890625,-0.09923664122137404,-0.2900763358778626,0.03816793893129771,359,350,1
1051750825,0.1253662109375,-0.1710205078125,0.1484375,-0.03816793893129771,-0.2824427480916031,-0.007633587786259542,350,357,1
1051760440,0.125244140625,-0.17236328125,0.1474609375,0.10687022900763359,-0.2748091603053435,-0.12213740458015267,350,357,1
1051770055,0.1243896484375,-0.1708984375,0.14794921875,0.22137404580152673,-0.2900763358778626,-0.20610687022900764,350,357,1
1051779670,0.12451171875,-0.167236328125,0.147216796875,0.20610687022900764,-0.2824427480916031,-0.183206106870229,350,357,1
1051789285,0.1236572265625,-0.165283203125,0.1470947265625,0.022900763358778626,-0.2900763358778626,-0.08396946564885496,350,357,1
1051798900,0.1241455078125,-0.165283203125,0.1475830078125,-0.1450381679389313,-0.31297709923664124,0.03816793893129771,350,357,1
1051808515,0.12451171875,-0.1666259765625,0.1474609375,-0.22900763358778625,-0.3053435114503817,0.09923664122137404,350,357,1
1051818130,0.1243896484375,-0.169921875,0.1475830078125,-0.2595419847328244,-0.33587786259541985,0.10687022900763359,350,357,1
1051827745,0.1243896484375,-0.170166015625,0.1478271484375,-0.1450381679389313,-0.3053435114503817,0.06870229007633588,350,357,1
1051837890,0.125244140625,-0.1705322265625,0.1478271484375,-0.04580152671755725,-0.2900763358778626,0.022900763358778626,350,357,1
1051847505,0.1246337890625,-0.169677734375,0.14697265625,-0.03816793893129771,-0.2824427480916031,-0.007633587786259542,346,367,1
1051857120,0.1239013671875,-0.169921875,0.1474609375,-0.030534351145038167,-0.31297709923664124,0.0,346,367,1
1051866735,0.1246337890625,-0.1707763671875,0.147705078125,0.030534351145038167,-0.3053435114503817,-0.061068702290076333,346,367,1
1051876350,0.1246337890625,-0.1705322265625,0.1474609375,0.0916030534351145,-0.2824427480916031,-0.0916030534351145,346,367,1
1051885965,0.124267578125,-0.16943359375,0.1475830078125,0.13740458015267176,-0.26717557251908397,-0.1450381679389313,346,367,1
1051895580,0.124267578125,-0.168212890625,0.14794921875,0.10687022900763359,-0.2824427480916031,-0.12213740458015267,346,367,1
1051905195,0.124267578125,-0.167724609375,0.147705078125,0.04580152671755725,-0.2900763358778626,-0.06870229007633588,346,367,1
1051914810,0.123779296875,-0.16845703125,0.1470947265625,0.007633587786259542,-0.3053435114503817,-0.03816793893129771,346,367,1
1051924425,0.123779296875,-0.1689453125,0.147216796875,-0.015267175572519083,-0.3053435114503817,-0.030534351145038167,346,367,1
1051933593,0.1240234375,-0.1689453125,0.1475830078125,-0.030534351145038167,-0.31297709923664124,-0.030534351145038167,346,367,1
1051943208,0.12451171875,-0.168701171875,0.147216796875,-0.03816793893129771,-0.3053435114503817,-0.022900763358778626,346,367,1
1051952823,0.124755859375,-0.1695556640625,0.148193359375,-0.03816793893129771,-0.31297709923664124,-0.015267175572519083,367,372,1
1051962438,0.124755859375,-0.169677734375,0.1475830078125,-0.007633587786259542,-0.2900763358778626,-0.030534351145038167,367,372,1
1051972053,0.125,-0.17041015625,0.14697265625,0.015267175572519083,-0.2824427480916031,-0.03816793893129771,367,372,1
1051981668,0.124267578125,-0.1705322265625,0.1474609375,0.06870229007633588,-0.2900763358778626,-0.06870229007633588,367,372,1
1051991283,0.123779296875,-0.1705322265625,0.1475830078125,0.10687022900763359,-0.2824427480916031,-0.10687022900763359,367,372,1
1052000898,0.1240234375,-0.1702880859375,0.14697265625,0.1297709923664122,-0.2824427480916031,-0.13740458015267176,367,372,1
1052010513,0.1239013671875,-0.169189453125,0.1468505859375,0.15267175572519084,-0.2824427480916031,-0.16030534351145037,367,372,1
1052020128,0.1243896484375,-0.16796875,0.147216796875,0.09923664122137404,-0.2748091603053435,-0.12213740458015267,367,372,1
1052029296,0.1239013671875,-0.1673583984375,0.1474609375,0.030534351145038167,-0.3053435114503817,-0.08396946564885496,367,372,1
1052038911,0.1241455078125,-0.1678466796875,0.1473388671875,-0.03816793893129771,-0.2900763358778626,-0.022900763358778626,367,372,1
1052048526,0.125,-0.1697998046875,0.1470947265625,-0.04580152671755725,-0.2900763358778626,-0.007633587786259542,377,388,1
1052058141,0.1253662109375,-0.1708984375,0.147705078125,-0.015267175572519083,-0.2900763358778626,-0.022900763358778626,377,388,1
